_id,kilos,frutaNacional,directoNacional,enf,predio,precio.Descarte,precio.FrutaNacional,descarteLavado_descarteGeneral,descarteLavado_pareja,descarteLavado_balin,descarteLavado_descompuesta,descarteLavado_piel,descarteLavado_hojas,descarteEncerado_descarteGeneral,descarteEncerado_pareja,descarteEncerado_balin,descarteEncerado_extra,descarteEncerado_descompuesta,descarteEncerado_suelo,precio.6887f225e5e1fd727f8eb910,precio.688d371d142dfaceecae9958,precio.689a05d0102fb4cb445579bc,exportacion.6887f225e5e1fd727f8eb910,exportacion.688d371d142dfaceecae9958,exportacion.688b99b4611afbbf5e0cacb6,precio.688b99b4611afbbf5e0cacb6,precio.68966e7249e7fd7eff70c74c,precio.68966eb849e7fd7eff70c74d,exportacion.689a05d0102fb4cb445579bc,exportacion.68966eb849e7fd7eff70c74d,exportacion.68966e7249e7fd7eff70c74c,precio.undefined
67af9d407c148550693cc142,11054,2976,0,EF1-2502233,La Miranda ~ CM Citrus,500,0,316,257,86,14,0,32,160,415,0,0,2,17,,,,,,6720,1500,0,0,,,,
67b4d3079d98848b5ac8c8bf,5465,0,0,EF1-2502242,La Miranda ~ CM Citrus,500,0,298,218,71,15,0,10,471,66,0,0,0,8,,,,,,4240,1500,0,0,,,,
67b4d43b9d98848b5ac8cd08,6380,0,0,EF1-2502243,La Miranda ~ CM Citrus,500,0,210,376,72,14,0,3,300,182,0,0,0,10,,,,,,5120,1500,0,0,,,,
67b4ede49d98848b5ac8d402,8200,0,0,EF1-2502244,La Miranda ~ CM Citrus,500,0,157,342,61,16,0,18,204,160,0,0,0,9,,,,,,7200,1500,0,0,,,,
67b63bc7494546457673c29a,6153,1721,447.16569767441865,EF1-2502248,La Miranda ~ CM Citrus,500,0,86,133,38,9,0,27,38,100,0,0,6,18,,,,,,3440,1500,0,0,,,,
67be40950d2d8ad0c0eca3b0,9035,0,0,EF1-2502280,La Miranda ~ CM Citrus,500,0,418,585,95,33,0,9,656,122,0,0,0,10,,,,,,6840,1500,0,0,,,,
67be4a390d2d8ad0c0eca3f1,1094,0,0,EF1-2502283,La Miranda ~ CM Citrus,500,0,30,57,8,4,0,0,47,17,0,0,0,0,,,,,,920,1500,0,0,,,,
67bfc1360d2d8ad0c0ed65f6,6455,0,0,EF1-2502293,La Miranda ~ CM Citrus,500,0,219,318,70,25,0,11,208,92,0,0,0,8,,,,,,5440,1500,0,0,,,,
67c0d60503a1f82a7528b37f,320,0,0,EF1-2502296,La Miranda ~ CM Citrus,300,0,15,0,2,1,0,0,18,0,0,7,0,0,2300,1500,300,128,48,,,,,48,,,
67c0e63703a1f82a7528bd35,7945,247,0,EF1-2502297,La Miranda ~ CM Citrus,500,500,154,334,50,17,0,16,161,122,0,0,8,8,,,,,,6800,1500,0,0,,,,
67d4cc353e9724953c624e93,9376,0,0,EF1-2503382,La Miranda ~ CM Citrus,500,0,164,72,57,27,0,12,197,330,0,0,0,9,,,,,,8360,1200,0,0,,,,
67d5a7733e9724953c626031,1823,0,0,EF1-2503384,La Miranda ~ CM Citrus,500,0,37,11,10,3,0,7,1034,76,0,0,24,17,,,,,,600,1200,0,0,,,,
67d8937f3e9724953c62d592,3980,0,0,EF1-2503392,La Miranda ~ CM Citrus,500,0,455,85,38,9,0,1,330,66,0,0,0,14,,,,,,2920,1200,0,0,,,,
67d9db6c3e9724953c633137,6513,0,0,EF1-2503393,La Miranda ~ CM Citrus,500,0,503,236,60,24,0,8,397,8,0,0,0,0,,,,,,5160,1200,0,0,,,,
67dacabc3e9724953c633a47,4604,0,0,EF1-2503394,La Miranda ~ CM Citrus,500,0,207,141,42,16,0,12,227,111,0,0,0,16,,,,,,3760,1200,0,0,,,,
67db40a9ec7b9f1f534b880b,8349,0,0,EF1-2503395,La Miranda ~ CM Citrus,500,0,174,161,57,18,0,18,285,160,0,0,0,18,,,,,,7360,1200,0,0,,,,
67db42c6ec7b9f1f534b8833,140,0,0,EF1-2503396,La Miranda ~ CM Citrus,400,0,9,0,0,0,0,1,11,0,0,0,0,0,2300,1500,400,32,32,,,,,54,,,
67dca47430614ae283f65a37,9220,0,0,EF1-2503405,La Miranda ~ CM Citrus,500,0,208,209,66,17,0,15,219,177,0,0,4,0,,,,,,8160,1200,0,0,,,,
67ddabe930614ae283f6ac10,2078,1283,0,EF1-2503414,La Miranda ~ CM Citrus,500,1000,45,24,11,6,0,7,24,38,0,0,0,0,,,,,,640,1200,0,0,,,,
67ebd84ce130412a2524b014,2244,0,0,EF1-2503455,La Miranda ~ CM Citrus,300,0,74,0,31,33,0,0,150,0,31,0,0,6,,,,,,1680,1500,0,300,,200,,
